Date W/ Weekends,Open,High,Low,Close,Adj Close,Volume
8/10/2011,115.260002,116.279999,111.949997,112.290001,92.578011,662607400
8/11/2011,113.260002,118.919998,112.32,117.330002,96.733238,487979700
8/12/2011,118.400002,119.209999,117.279999,118.120003,97.384598,313731600
8/13/2011,118.400002,119.209999,117.279999,118.120003,97.384598,313731600
8/14/2011,118.400002,119.209999,117.279999,118.120003,97.384598,313731600
8/15/2011,119.190002,120.739998,119,120.620003,99.445694,258810600
8/16/2011,119.470001,120.690002,118.309998,119.589996,98.596527,294095200
8/17/2011,120.25,121.199997,118.720001,119.669998,98.662491,238201100
8/18/2011,116.5,119.709999,113.389999,114.510002,94.408318,512956300
8/19/2011,112.959999,115.879997,112.5,112.639999,92.866562,428281300
8/20/2011,112.959999,115.879997,112.5,112.639999,92.866562,428281300
8/21/2011,112.959999,115.879997,112.5,112.639999,92.866562,428281300
8/22/2011,115.169998,115.230003,112.410004,112.730003,92.940788,275090600
8/23/2011,113.150002,116.57,112.580002,116.440002,95.999504,331136600
8/24/2011,116.190002,118.239998,115.919998,118.080002,97.351593,246869700
8/25/2011,118.730003,119.400002,115.870003,116.279999,95.867554,312365400
8/26/2011,115.690002,118.510002,113.849998,117.970001,97.260933,314495900
8/27/2011,115.690002,118.510002,113.849998,117.970001,97.260933,314495900
8/28/2011,115.690002,118.510002,113.849998,117.970001,97.260933,314495900
8/29/2011,119.559998,121.43,118.059998,121.360001,100.055817,190977200
8/30/2011,120.830002,122.43,119.260002,121.68,100.319649,241315700
8/31/2011,122.459999,123.510002,121.300003,122.220001,100.764824,301828400
9/1/2011,122.290001,123.400002,120.779999,120.940002,99.709572,254585900
9/2/2011,118.419998,120.870003,117.43,117.849998,97.161964,255517200
9/3/2011,118.419998,120.870003,117.43,117.849998,97.161964,255517200
9/4/2011,118.419998,120.870003,117.43,117.849998,97.161964,255517200
9/5/2011,118.419998,120.870003,117.43,117.849998,97.161964,255517200
9/6/2011,114.389999,117.160004,114.379997,116.989998,96.452927,285130500
9/7/2011,118.760002,120.339996,118.360001,120.290001,99.173653,209803200
9/8/2011,119.57,120.940002,118.769997,119.040001,98.143105,250568200
9/9/2011,117.68,119.059998,115.279999,115.919998,95.570778,380195100
9/10/2011,117.68,119.059998,115.279999,115.919998,95.570778,380195100
9/11/2011,117.68,119.059998,115.279999,115.919998,95.570778,380195100
9/12/2011,114.470001,116.760002,114.050003,116.669998,96.18911,305793500
9/13/2011,117.050003,118.18,116.220001,117.739998,97.071281,272514700
9/14/2011,118.339996,120.800003,116.720001,119.370003,98.415131,319389500
9/15/2011,120.650002,121.470001,119.400002,121.43,100.11351,326777200
9/16/2011,121.290001,121.970001,120.32,121.519997,100.706047,284528300
9/17/2011,121.290001,121.970001,120.32,121.519997,100.706047,284528300
9/18/2011,121.290001,121.970001,120.32,121.519997,100.706047,284528300
9/19/2011,119.529999,120.93,118.720001,120.309998,99.703316,241517000
9/20/2011,120.82,121.989998,120.010002,120.169998,99.58728,218932200
9/21/2011,120.230003,120.599998,116.440002,116.629997,96.65361,316251300
9/22/2011,113.25,114.209999,111.300003,112.860001,93.529343,513911300
